Group	Species
Asgard	ASG001
Asgard	ASG003
Asgard	ASG004
Asgard	ASG005
Asgard	ASG006
Asgard	ASG007
Asgard	ASG008
Asgard	ASG009
Asgard	ASG010
Asgard	ASG011
Asgard	ASG012
Asgard	ASG013
Asgard	ASG014
Asgard	ASG030
Asgard	ASG031
Asgard	ASG032
Asgard	ASG033
Asgard	ASG034
Asgard	ASG035
Asgard	ASG036
Asgard	ASG037
Asgard	ASG042
Asgard	ASG043
Asgard	ASG044
Asgard	ASG045
Asgard	ASG046
Asgard	ASG047
Asgard	ASG048
Asgard	ASG049
Asgard	ASG050
Asgard	ASG051
Asgard	ASG052
Asgard	ASG053
Asgard	ASG054
Asgard	ASG055
Asgard	ASG056
Asgard	ASG057
Asgard	ASG058
Asgard	ASG059
Asgard	ASG060
Asgard	ASG061
Asgard	ASG062
Asgard	ASG063
Asgard	ASG064
Asgard	ASG065
Asgard	ASG066
Asgard	ASG067
Asgard	ASG068
Asgard	ASG069
Asgard	ASG070
Asgard	ASG071
Asgard	ASG072
Asgard	ASG073
Asgard	ASG074
Asgard	ASG075
Asgard	ASG076
Asgard	ASG077
Asgard	ASG078
Asgard	ASG079
Asgard	ASG080
Asgard	ASG081
Asgard	ASG082
Asgard	ASG083
Asgard	ASG084
Asgard	ASG085
Asgard	ASG086
Asgard	ASG087
Asgard	ASG088
Asgard	ASG089
Asgard	ASG090
Asgard	ASG091
Asgard	ASG092
Asgard	ASG093
Asgard	ASG094
Asgard	ASG095
Asgard	ASG096
Asgard	ASG097
Asgard	ASG098
Asgard	ASG099
Asgard	ASG100
Asgard	ASG101
Asgard	ASG102
Asgard	ASG103
Asgard	ASG104
Asgard	ASG105
Asgard	ASG106
Asgard	ASG107
Asgard	ASG108
Asgard	ASG109
Asgard	ASG110
Asgard	ASG111
Asgard	ASG112
Asgard	ASG113
Asgard	ASG114
Asgard	ASG115
Asgard	ASG116
Asgard	ASG117
Asgard	ASG118
Asgard	ASG119
Asgard	ASG120
Asgard	ASG121
Asgard	ASG122
Asgard	ASG123
Asgard	ASG124
Asgard	ASG125
Asgard	ASG126
Asgard	ASG127
Asgard	ASG128
Asgard	ASG129
Asgard	ASG130
Asgard	ASG131
Asgard	ASG132
Asgard	ASG133
Asgard	ASG134
Asgard	ASG135
Asgard	ASG136
Asgard	ASG137
Asgard	ASG138
Asgard	ASG139
Asgard	ASG140
Asgard	ASG141
Asgard	ASG142
Asgard	ASG143
Asgard	ASG144
Asgard	ASG145
Asgard	ASG146
Asgard	ASG147
Asgard	ASG148
Asgard	ASG149
Asgard	ASG150
Asgard	ASG151
Asgard	ASG152
Asgard	ASG153
Asgard	ASG154
Asgard	ASG155
Asgard	ASG156
Asgard	ASG157
Asgard	ASG158
Asgard	ASG159
Asgard	ASG160
Asgard	ASG161
Asgard	ASG162
Asgard	ASG163
Asgard	ASG164
Asgard	ASG165
Asgard	ASG166
Asgard	ASG167
Asgard	ASG168
Asgard	ASG169
Asgard	ASG170
Asgard	ASG171
Asgard	ASG172
Asgard	ASG173
Asgard	ASG174
Asgard	ASG175
Asgard	ASG176
Asgard	ASG177
Asgard	ASG178
Asgard	ASG179
Asgard	ASG180
Asgard	ASG181
Asgard	ASG182
Asgard	ASG183
Asgard	ASG184
Asgard	ASG185
Asgard	ASG186
Asgard	ASG187
Asgard	ASG188
Asgard	ASG189
Asgard	ASG190
Asgard	ASG191
Asgard	ASG192
Asgard	ASG193
Asgard	ASG194
Asgard	ASG195
Asgard	ASG196
Asgard	ASG197
Asgard	ASG198
Asgard	ASG199
Asgard	ASG200
Asgard	ASG201
Asgard	ASG202
Asgard	ASG203
Asgard	ASG204
Asgard	ASG205
Asgard	ASG206
Asgard	ASG207
Asgard	ASG208
Asgard	ASG209
Asgard	ASG210
Asgard	ASG232
Asgard	ASG233
Asgard	ASG235
Asgard	ASG237
Asgard	ASG242
Asgard	ASG243
Asgard	ASG244
Asgard	ASG245
Asgard	ASG246
Asgard	ASG247
Asgard	ASG249
Asgard	ASG250
Asgard	ASG251
Asgard	ASG252
Asgard	ASG253
Asgard	ASG254
Asgard	ASG255
Asgard	ASG256
Asgard	ASG257
Asgard	ASG258
Asgard	ASG259
Asgard	ASG260
Asgard	ASG261
Asgard	ASG262
Asgard	ASG263
Asgard	ASG264
Asgard	ASG265
Asgard	ASG266
Asgard	ASG267
Asgard	ASG268
Asgard	ASG269
Asgard	ASG270
Asgard	ASG271
Asgard	ASG272
Asgard	ASG273
Asgard	ASG274
Asgard	ASG275
Asgard	ASG276
Asgard	ASG277
Asgard	ASG278
Asgard	ASG279
Asgard	ASG280
Asgard	ASG281
Asgard	ASG282
Asgard	ASG283
Asgard	ASG284
Asgard	ASG285
Asgard	ASG286
Asgard	ASG287
Asgard	ASG288
Asgard	ASG289
Asgard	ASG290
Asgard	ASG291
Asgard	ASG292
Asgard	ASG293
Asgard	ASG294
Asgard	ASG295
Asgard	ASG296
Asgard	ASG297
Asgard	ASG298
Asgard	ASG299
Asgard	ASG300
Asgard	ASG301
Asgard	ASG302
Asgard	ASG303
Asgard	ASG304
Asgard	ASG305
Asgard	ASG306
Asgard	ASG307
Asgard	ASG308
Asgard	ASG309
Asgard	ASG310
Asgard	ASG311
Asgard	ASG312
Asgard	ASG313
Asgard	ASG314
Asgard	ASG315
Asgard	ASG316
Asgard	ASG317
Asgard	ASG318
Asgard	ASG319
Asgard	ASG320
Asgard	ASG321
Asgard	ASG322
Asgard	ASG323
Asgard	ASG324
Asgard	ASG325
Asgard	ASG326
Asgard	ASG327
Asgard	ASG328
Asgard	ASG329
Asgard	ASG330
Asgard	ASG331
Asgard	ASG332
Asgard	ASG333
Asgard	ASG334
Asgard	ASG335
Asgard	ASG336
Asgard	ASG338
Asgard	ASG339
Asgard	ASG340
Asgard	ASG341
Asgard	ASG342
Asgard	ASG347
Asgard	ASG349
Asgard	ASG354
Asgard	ASG361
Asgard	ASG364
Asgard	ASG366
Asgard	ASG387
Asgard	ASG391
Asgard	ASG392
Asgard	ASG393
Asgard	ASG394
Asgard	ASG395
Asgard	ASG396
Asgard	ASG397
Asgard	ASG398
Asgard	ASG399
Asgard	ASG400
Asgard	ASG401
Asgard	ASG402
Asgard	ASG403
Asgard	ASG404
Asgard	ASG405
Asgard	ASG406
Asgard	ASG407
Asgard	ASG408
Asgard	ASG409
Asgard	ASG410
Asgard	ASG411
Asgard	ASG412
Asgard	ASG417
Asgard	ASG418
Asgard	ASG419
Asgard	ASG420
Asgard	ASG421
Asgard	ASG422
Asgard	ASG423
Asgard	ASG424
Asgard	ASG425
Asgard	ASG426
Asgard	ASG427
Asgard	ASG428
Asgard	ASG429
Asgard	ASG430
Asgard	ASG431
Asgard	ASG432
Asgard	ASG433
Asgard	ASG434
Asgard	ASG435
Asgard	ASG436
Asgard	ASG437
Asgard	ASG438
Asgard	ASG439
Asgard	ASG440
Asgard	ASG441
Asgard	ASG442
Asgard	ASG443
Asgard	ASG444
Asgard	ASG445
Asgard	ASG446
Asgard	ASG447
Asgard	ASG448
Asgard	ASG449
Asgard	ASG450
Asgard	ASG451
Asgard	ASG452
Asgard	ASG453
Asgard	ASG454
Asgard	ASG455
Asgard	ASG456
Asgard	ASG457
Asgard	ASG458
Asgard	ASG467
Asgard	ASG468
Asgard	ASG469
Asgard	ASG470
Asgard	ASG472
Asgard	ASG473
Asgard	ASG474
Asgard	ASG475
Asgard	ASG476
Asgard	ASG477
Asgard	ASG478
Asgard	ASG479
Asgard	ASG480
Asgard	ASG481
Asgard	ASG482
Asgard	ASG483
Asgard	ASG484
Asgard	ASG485
Asgard	ASG486
Asgard	ASG487
Asgard	ASG488
Asgard	ASG489
Asgard	ASG490
Asgard	ASG491
Asgard	ASG492
Asgard	ASG493
Asgard	ASG494
Asgard	ASG495
Asgard	ASG496
Asgard	ASG497
Asgard	ASG498
Asgard	ASG499
Asgard	ASG500
Asgard	ASG501
Asgard	ASG502
Asgard	ASG503
Asgard	ASG504
Asgard	ASG505
Asgard	ASG506
Asgard	ASG507
Asgard	ASG508
Asgard	ASG509
Asgard	ASG510
Asgard	ASG511
Asgard	ASG512
Asgard	ASG513
Asgard	ASG514
Asgard	ASG515
Asgard	ASG516
Asgard	ASG517
Asgard	ASG518
Asgard	ASG519
Asgard	ASG520
Asgard	ASG521
Asgard	ASG523
Asgard	ASG524
Asgard	ASG525
Asgard	ASG526
Asgard	ASG528
Asgard	ASG529
Asgard	FWG001
Asgard	FWG016
Asgard	FWG037
Asgard	FWG038
Asgard	FWG135
Asgard	FWG136
Asgard	FWG137
Asgard	FWG138
Asgard	FWG139
Asgard	FWG140
Asgard	FWG166
Asgard	FWG169
ARTHROPODA	Aedes_aegypti
ARTHROPODA	Amblyomma_americanum
ARTHROPODA	Amphibalanus_amphitrite
ARTHROPODA	Asellus_aquaticus
ARTHROPODA	Aretaon_asperrimus
ARTHROPODA	Astacus_astacus
NEMATODA	Aphelenchus_avenae
MOLLUSCA	Alinda_biplicata
ARTHROPODA	Argiope_bruennichi
ARTHROPODA	Acerentomon_sp._AD-2013
MOLLUSCA	Acanthopleura_granulata
ARTHROPODA	Apachyus_charteceus
MOLLUSCA	Aegista_chejuensis
ARTHROPODA	Acetes_chinensis
